Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Month,Year,Price_per_unit,Profit_margin,Profit_per_unit
2024-12-28,Headphones,Accessories,East,5,5795,310.6,12,2024,1159.0,0.053597929249352895,62.120000000000005
2022-08-06,Laptop,Electronics,South,4,2008,338.44,8,2022,502.0,0.16854581673306773,84.61
2023-06-06,Mouse,Accessories,South,7,2842,425.24,6,2023,406.0,0.14962702322308233,60.74857142857143
2024-02-01,Mouse,Accessories,East,4,3404,392.22,2,2024,851.0,0.11522326674500588,98.055
2023-05-31,Smartwatch,Electronics,West,1,1065,228.63,5,2023,1065.0,0.21467605633802817,228.63
2024-06-14,Tablet,Electronics,West,7,2149,121.69,6,2024,307.0,0.05662633783154956,17.384285714285713
2024-08-14,Keyboard,Accessories,East,8,5912,1143.04,8,2024,739.0,0.1933423545331529,142.88
2023-02-01,Mouse,Accessories,West,3,3348,331.28,2,2023,1116.0,0.09894862604540024,110.42666666666666
2024-04-28,Smartphone,Electronics,South,3,2409,531.79,4,2024,803.0,0.22075134910751348,177.26333333333332
2024-04-05,Tablet,Electronics,North,2,328,39.51,4,2024,164.0,0.12045731707317073,19.755
2024-01-31,Smartphone,Electronics,West,8,6224,1561.42,1,2024,778.0,0.25087082262210797,195.1775
2024-01-09,Smartwatch,Electronics,North,5,2530,486.09,1,2024,506.0,0.1921304347826087,97.21799999999999
2022-04-06,Headphones,Accessories,West,4,4108,462.17,4,2022,1027.0,0.11250486854917235,115.5425
2024-05-22,Printer,Office,South,5,1640,391.36,5,2024,328.0,0.23863414634146343,78.272
2023-12-30,Laptop,Electronics,South,1,111,19.33,12,2023,111.0,0.17414414414414414,19.33
2022-03-17,Headphones,Accessories,North,1,445,128.89,3,2022,445.0,0.2896404494382022,128.89
2022-05-24,Printer,Office,North,4,3600,623.72,5,2022,900.0,0.17325555555555555,155.93
2024-06-09,Mouse,Accessories,North,3,1335,176.44,6,2024,445.0,0.13216479400749062,58.81333333333333
2024-12-01,Keyboard,Accessories,South,5,3090,242.15,12,2024,618.0,0.07836569579288026,48.43
2023-10-20,Printer,Office,East,5,3910,538.52,10,2023,782.0,0.13772890025575446,107.704
2024-03-05,Camera,Electronics,South,1,219,32.67,3,2024,219.0,0.14917808219178083,32.67
2022-12-05,Smartphone,Electronics,West,5,390,27.77,12,2022,78.0,0.0712051282051282,5.554
2022-08-05,Laptop,Electronics,North,6,3294,359.61,8,2022,549.0,0.1091712204007286,59.935
2023-03-21,Keyboard,Accessories,West,4,4572,1038.05,3,2023,1143.0,0.2270450568678915,259.5125
2022-02-08,Monitor,Accessories,South,7,980,109.94,2,2022,140.0,0.11218367346938775,15.705714285714285
2023-04-01,Headphones,Accessories,North,2,2262,532.12,4,2023,1131.0,0.23524314765694077,266.06
2022-12-14,Camera,Electronics,South,7,7518,1655.91,12,2022,1074.0,0.22025937749401436,236.55857142857144
2022-05-14,Camera,Electronics,South,1,873,158.97,5,2022,873.0,0.18209621993127148,158.97
2022-02-16,Mouse,Accessories,North,6,1512,423.03,2,2022,252.0,0.279781746031746,70.505
2024-08-28,Laptop,Electronics,West,1,705,165.16,8,2024,705.0,0.2342695035460993,165.16
2023-10-30,Smartwatch,Electronics,North,8,3256,533.7,10,2023,407.0,0.16391277641277643,66.7125
2023-06-24,Tablet,Electronics,West,4,556,81.77,6,2023,139.0,0.147068345323741,20.4425
2023-05-17,Mouse,Accessories,East,9,7101,2105.82,5,2023,789.0,0.29655259822560204,233.98000000000002
2023-04-06,Laptop,Electronics,West,9,8802,1344.96,4,2023,978.0,0.15280163599182003,149.44
2023-03-26,Headphones,Accessories,South,6,5592,1294.16,3,2023,932.0,0.23143061516452076,215.69333333333336
2024-10-12,Tablet,Electronics,North,2,1852,168.92,10,2024,926.0,0.09120950323974081,84.46
2022-06-26,Monitor,Accessories,East,1,195,57.88,6,2022,195.0,0.29682051282051286,57.88
2022-04-15,Mouse,Accessories,East,9,7884,2054.02,4,2022,876.0,0.26053018772196856,228.22444444444443
2023-12-10,Laptop,Electronics,East,5,4360,1160.55,12,2023,872.0,0.26618119266055046,232.10999999999999
2024-09-23,Mouse,Accessories,North,6,4920,929.18,9,2024,820.0,0.18885772357723576,154.86333333333332
2022-01-01,Mouse,Accessories,East,3,3474,565.0,1,2022,1158.0,0.16263672999424295,188.33333333333334
2022-02-03,Keyboard,Accessories,West,1,930,222.5,2,2022,930.0,0.239247311827957,222.5
2023-03-14,Tablet,Electronics,South,7,1421,248.02,3,2023,203.0,0.1745390570021112,35.431428571428576
2022-08-24,Headphones,Accessories,North,2,634,161.1,8,2022,317.0,0.25410094637223973,80.55
2024-07-07,Camera,Electronics,East,1,673,114.42,7,2024,673.0,0.1700148588410104,114.42
2022-04-13,Mouse,Accessories,South,5,3135,787.7,4,2022,627.0,0.2512599681020734,157.54000000000002
2024-05-08,Smartphone,Electronics,East,6,882,184.48,5,2024,147.0,0.2091609977324263,30.746666666666666
2024-09-10,Smartphone,Electronics,East,4,1192,212.77,9,2024,298.0,0.17849832214765102,53.1925
2024-06-18,Printer,Office,South,3,390,112.08,6,2024,130.0,0.2873846153846154,37.36
2024-09-10,Tablet,Electronics,North,1,834,95.54,9,2024,834.0,0.11455635491606715,95.54
2022-05-06,Smartphone,Electronics,East,6,612,83.75,5,2022,102.0,0.13684640522875818,13.958333333333334
2024-06-18,Headphones,Accessories,West,9,8073,710.23,6,2024,897.0,0.0879759692803171,78.91444444444444
2023-10-29,Keyboard,Accessories,North,8,2640,723.88,10,2023,330.0,0.2741969696969697,90.485
2023-11-13,Smartphone,Electronics,North,3,3234,440.7,11,2023,1078.0,0.1362708719851577,146.9
2022-08-21,Monitor,Accessories,West,5,4435,355.51,8,2022,887.0,0.08016009019165726,71.102
2024-03-04,Smartwatch,Electronics,North,2,2302,305.07,3,2024,1151.0,0.1325238922675934,152.535
2022-04-17,Camera,Electronics,East,6,1728,307.44,4,2022,288.0,0.17791666666666667,51.24
2023-12-20,Laptop,Electronics,East,4,228,54.05,12,2023,57.0,0.23706140350877192,13.5125
2022-03-19,Tablet,Electronics,West,6,3450,705.74,3,2022,575.0,0.2045623188405797,117.62333333333333
2024-07-07,Smartphone,Electronics,South,8,7456,1702.48,7,2024,932.0,0.22833690987124464,212.81
2023-04-30,Smartphone,Electronics,West,6,4728,705.85,4,2023,788.0,0.14929145516074452,117.64166666666667
2024-03-22,Smartwatch,Electronics,North,7,945,124.62,3,2024,135.0,0.13187301587301586,17.802857142857142
2022-03-08,Laptop,Electronics,North,4,296,65.05,3,2022,74.0,0.2197635135135135,16.2625
2023-09-15,Smartphone,Electronics,West,4,640,149.89,9,2023,160.0,0.23420312499999998,37.4725
2023-03-01,Tablet,Electronics,North,1,797,65.27,3,2023,797.0,0.08189460476787955,65.27
2023-10-24,Monitor,Accessories,North,4,1456,431.89,10,2023,364.0,0.29662774725274726,107.9725
2024-04-22,Monitor,Accessories,South,6,4038,364.11,4,2024,673.0,0.09017087667161962,60.685
2023-06-27,Tablet,Electronics,West,7,5656,355.81,6,2023,808.0,0.06290841584158416,50.83
2023-04-13,Mouse,Accessories,West,4,3876,302.37,4,2023,969.0,0.07801083591331269,75.5925
2023-05-19,Keyboard,Accessories,South,6,1002,114.7,5,2023,167.0,0.11447105788423154,19.116666666666667
2024-11-15,Headphones,Accessories,East,9,2187,413.76,11,2024,243.0,0.1891906721536351,45.97333333333333
2023-12-25,Mouse,Accessories,North,6,7146,1627.42,12,2023,1191.0,0.22773859501819202,271.2366666666667
2022-03-31,Keyboard,Accessories,South,1,189,14.88,3,2022,189.0,0.07873015873015873,14.88
2024-04-24,Monitor,Accessories,East,5,940,266.02,4,2024,188.0,0.283,53.20399999999999
2022-01-10,Headphones,Accessories,North,1,951,127.58,1,2022,951.0,0.1341535226077813,127.58
2022-11-17,Printer,Office,East,2,124,27.42,11,2022,62.0,0.22112903225806452,13.71
2024-06-29,Mouse,Accessories,West,9,7506,594.28,6,2024,834.0,0.07917399413802291,66.0311111111111
2022-11-14,Monitor,Accessories,West,7,8176,2308.76,11,2022,1168.0,0.28238258317025444,329.8228571428572
2023-08-11,Smartphone,Electronics,East,5,2125,632.68,8,2023,425.0,0.2977317647058823,126.53599999999999
2024-05-22,Headphones,Accessories,North,1,967,59.98,5,2024,967.0,0.06202688728024819,59.98
2022-03-19,Headphones,Accessories,South,5,270,29.41,3,2022,54.0,0.10892592592592593,5.882
2022-10-23,Keyboard,Accessories,West,9,10035,1486.3,10,2022,1115.0,0.14811160936721474,165.14444444444445
2023-02-26,Printer,Office,North,8,6792,1125.23,2,2023,849.0,0.16566990577149587,140.65375
2024-10-03,Printer,Office,East,1,714,99.13,10,2024,714.0,0.1388375350140056,99.13
2022-07-17,Smartphone,Electronics,South,5,765,157.64,7,2022,153.0,0.20606535947712418,31.528
2024-11-04,Headphones,Accessories,East,7,4221,358.02,11,2024,603.0,0.08481876332622601,51.145714285714284
2023-02-24,Laptop,Electronics,North,4,2108,576.48,2,2023,527.0,0.273472485768501,144.12
2024-08-08,Monitor,Accessories,North,9,10530,2387.63,8,2024,1170.0,0.22674548907882242,265.2922222222222
2024-05-14,Keyboard,Accessories,South,6,3396,914.17,5,2024,566.0,0.2691902237926973,152.36166666666665
2022-01-15,Monitor,Accessories,North,4,1060,213.05,1,2022,265.0,0.20099056603773585,53.2625
2022-05-10,Tablet,Electronics,East,5,480,73.07,5,2022,96.0,0.15222916666666667,14.613999999999999
2022-03-10,Headphones,Accessories,West,3,2529,285.65,3,2022,843.0,0.11294978252273626,95.21666666666665
2022-01-23,Smartwatch,Electronics,East,8,4792,511.97,1,2022,599.0,0.10683848080133557,63.99625
2024-09-19,Smartwatch,Electronics,East,8,8056,605.8,9,2024,1007.0,0.07519860973187685,75.725
2024-06-06,Tablet,Electronics,North,4,4228,947.76,6,2024,1057.0,0.22416272469252602,236.94
2024-10-10,Tablet,Electronics,East,1,653,93.78,10,2024,653.0,0.14361408882082696,93.78
2024-03-24,Tablet,Electronics,North,9,7452,1212.51,3,2024,828.0,0.16270933977455718,134.72333333333333
2023-07-21,Mouse,Accessories,East,4,4128,1156.71,7,2023,1032.0,0.2802107558139535,289.1775
2022-07-21,Tablet,Electronics,West,5,5090,1201.56,7,2022,1018.0,0.23606286836935167,240.31199999999998
2022-09-01,Camera,Electronics,North,5,4930,387.33,9,2022,986.0,0.0785659229208925,77.466
2023-04-20,Smartwatch,Electronics,South,6,2610,434.37,4,2023,435.0,0.16642528735632184,72.395
2023-12-11,Laptop,Electronics,North,3,2139,415.84,12,2023,713.0,0.19440860215053762,138.61333333333332
2024-09-29,Tablet,Electronics,South,1,226,55.4,9,2024,226.0,0.24513274336283186,55.4
2023-11-20,Smartwatch,Electronics,West,2,2244,212.08,11,2023,1122.0,0.09450980392156863,106.04
2023-07-15,Monitor,Accessories,East,6,3150,578.87,7,2023,525.0,0.18376825396825397,96.47833333333334
2023-12-24,Laptop,Electronics,South,7,3388,347.19,12,2023,484.0,0.10247638724911452,49.598571428571425
2023-08-13,Laptop,Electronics,East,8,8736,580.31,8,2023,1092.0,0.06642742673992673,72.53875
2022-04-24,Smartphone,Electronics,South,2,1102,176.53,4,2022,551.0,0.16019056261343012,88.265
2024-07-13,Monitor,Accessories,East,3,2640,199.97,7,2024,880.0,0.07574621212121212,66.65666666666667
2022-06-11,Printer,Office,West,3,2547,300.74,6,2022,849.0,0.11807616804083236,100.24666666666667
2024-10-28,Laptop,Electronics,North,7,728,64.82,10,2024,104.0,0.08903846153846152,9.26
2022-11-24,Camera,Electronics,South,7,3444,607.44,11,2022,492.0,0.17637630662020906,86.77714285714286
2024-10-03,Camera,Electronics,West,5,3140,853.66,10,2024,628.0,0.2718662420382166,170.732
2024-03-24,Smartphone,Electronics,East,3,435,129.27,3,2024,145.0,0.2971724137931035,43.09
2024-06-28,Keyboard,Accessories,East,4,856,72.99,6,2024,214.0,0.08526869158878504,18.2475
2022-05-31,Printer,Office,North,2,112,23.33,5,2022,56.0,0.20830357142857142,11.665
2024-03-25,Headphones,Accessories,North,3,2247,507.79,3,2024,749.0,0.22598575878949712,169.26333333333335
2023-01-31,Keyboard,Accessories,West,2,1512,298.73,1,2023,756.0,0.19757275132275134,149.365
2024-06-23,Mouse,Accessories,South,5,4915,1196.6,6,2024,983.0,0.2434587995930824,239.32
2023-08-16,Mouse,Accessories,South,3,2709,663.54,8,2023,903.0,0.2449390919158361,221.17999999999998
2023-06-10,Tablet,Electronics,North,7,1239,118.36,6,2023,177.0,0.09552865213882163,16.908571428571427
2023-05-09,Tablet,Electronics,West,2,572,86.16,5,2023,286.0,0.15062937062937062,43.08
2022-05-08,Smartwatch,Electronics,North,2,1708,93.25,5,2022,854.0,0.054596018735362996,46.625
2024-11-06,Smartwatch,Electronics,North,4,360,42.66,11,2024,90.0,0.1185,10.665
2022-12-08,Camera,Electronics,North,6,3822,388.34,12,2022,637.0,0.10160648874934589,64.72333333333333
2022-09-25,Camera,Electronics,North,6,4680,932.97,9,2022,780.0,0.1993525641025641,155.495
2024-07-10,Camera,Electronics,North,5,2520,487.18,7,2024,504.0,0.19332539682539682,97.436
2024-03-29,Smartwatch,Electronics,North,2,2138,619.29,3,2024,1069.0,0.28965855940130963,309.645
2022-01-11,Keyboard,Accessories,West,3,2529,169.6,1,2022,843.0,0.06706207987346777,56.53333333333333
2022-04-08,Keyboard,Accessories,East,1,236,29.33,4,2022,236.0,0.12427966101694915,29.33
2024-01-21,Tablet,Electronics,West,6,2730,636.48,1,2024,455.0,0.23314285714285715,106.08
2023-04-27,Headphones,Accessories,North,3,3021,872.49,4,2023,1007.0,0.2888083416087388,290.83
2024-11-06,Smartwatch,Electronics,North,2,244,16.78,11,2024,122.0,0.0687704918032787,8.39
2022-05-11,Camera,Electronics,South,8,728,120.06,5,2022,91.0,0.16491758241758242,15.0075
2022-10-02,Mouse,Accessories,North,3,453,89.49,10,2022,151.0,0.19754966887417216,29.83
2022-01-12,Laptop,Electronics,South,1,379,84.38,1,2022,379.0,0.22263852242744062,84.38
2023-01-09,Tablet,Electronics,West,3,2130,510.69,1,2023,710.0,0.23976056338028168,170.23
2023-05-04,Monitor,Accessories,North,8,4120,710.11,5,2023,515.0,0.17235679611650487,88.76375
2024-09-07,Smartwatch,Electronics,South,7,3150,299.7,9,2024,450.0,0.09514285714285714,42.81428571428571
2022-05-17,Smartwatch,Electronics,East,7,2688,603.07,5,2022,384.0,0.22435639880952382,86.15285714285714
2023-08-17,Tablet,Electronics,East,2,1752,501.19,8,2023,876.0,0.28606735159817354,250.595
2023-09-07,Keyboard,Accessories,North,7,7308,948.4,9,2023,1044.0,0.12977558839627804,135.4857142857143
2022-05-11,Tablet,Electronics,North,3,2007,160.84,5,2022,669.0,0.08013951170901844,53.61333333333334
2023-05-12,Tablet,Electronics,West,7,7224,479.23,5,2023,1032.0,0.06633859357696567,68.46142857142857
2023-05-08,Monitor,Accessories,South,9,6939,1249.31,5,2023,771.0,0.18004179276552817,138.8122222222222
2023-02-18,Smartphone,Electronics,East,7,5516,1475.67,2,2023,788.0,0.2675253807106599,210.81
2022-01-29,Printer,Office,South,2,2224,116.47,1,2022,1112.0,0.05236960431654676,58.235
2023-01-12,Laptop,Electronics,South,5,3985,824.4,1,2023,797.0,0.20687578419071517,164.88
2022-01-03,Camera,Electronics,North,7,2723,638.26,1,2022,389.0,0.23439588688946014,91.17999999999999
2022-10-20,Tablet,Electronics,North,2,746,170.75,10,2022,373.0,0.22888739946380698,85.375
2024-08-21,Laptop,Electronics,West,5,3170,245.25,8,2024,634.0,0.07736593059936908,49.05
2023-12-11,Smartwatch,Electronics,East,5,550,63.11,12,2023,110.0,0.11474545454545454,12.622
2022-08-14,Tablet,Electronics,North,8,480,132.45,8,2022,60.0,0.2759375,16.55625
2024-06-03,Printer,Office,East,4,3284,354.4,6,2024,821.0,0.1079171741778319,88.6
2024-01-23,Smartwatch,Electronics,South,2,1748,183.75,1,2024,874.0,0.10512013729977117,91.875
2023-11-20,Headphones,Accessories,North,8,824,240.84,11,2023,103.0,0.2922815533980583,30.105
2022-03-03,Headphones,Accessories,North,4,1872,448.46,3,2022,468.0,0.2395619658119658,112.115
2024-02-20,Tablet,Electronics,West,3,627,103.98,2,2024,209.0,0.16583732057416267,34.660000000000004
2024-08-09,Camera,Electronics,East,9,5661,1104.02,8,2024,629.0,0.19502208090443385,122.66888888888889
2022-06-19,Camera,Electronics,North,3,2910,765.47,6,2022,970.0,0.26304810996563577,255.15666666666667
2024-09-01,Tablet,Electronics,South,9,9036,1087.46,9,2024,1004.0,0.12034749889331563,120.8288888888889
2024-08-30,Tablet,Electronics,West,5,4815,338.31,8,2024,963.0,0.07026168224299066,67.662
2022-08-12,Mouse,Accessories,South,1,1187,206.28,8,2022,1187.0,0.1737826453243471,206.28
2022-08-04,Headphones,Accessories,East,3,3339,732.92,8,2022,1113.0,0.21950284516322252,244.30666666666664
2024-02-20,Tablet,Electronics,East,1,620,165.43,2,2024,620.0,0.2668225806451613,165.43
2023-02-26,Camera,Electronics,West,5,2025,414.42,2,2023,405.0,0.20465185185185186,82.884
2024-11-20,Printer,Office,East,5,3030,811.92,11,2024,606.0,0.2679603960396039,162.384
2023-08-12,Smartwatch,Electronics,North,5,655,166.69,8,2023,131.0,0.2544885496183206,33.338
2022-01-17,Printer,Office,West,2,2238,294.54,1,2022,1119.0,0.13160857908847187,147.27
2023-04-12,Smartphone,Electronics,South,8,3312,811.31,4,2023,414.0,0.2449607487922705,101.41375
2023-07-26,Printer,Office,East,9,9387,1271.64,7,2023,1043.0,0.13546820070310003,141.29333333333335
2024-01-01,Mouse,Accessories,West,6,5790,1285.21,1,2024,965.0,0.2219706390328152,214.20166666666668
2023-12-06,Laptop,Electronics,South,6,2700,527.97,12,2023,450.0,0.19554444444444447,87.995
2023-12-05,Smartwatch,Electronics,East,8,2072,555.06,12,2023,259.0,0.26788610038610033,69.3825
2024-10-27,Keyboard,Accessories,North,3,2991,716.54,10,2024,997.0,0.23956536275493145,238.84666666666666
2024-08-04,Laptop,Electronics,East,6,5568,958.59,8,2024,928.0,0.1721605603448276,159.76500000000001
2023-02-01,Smartwatch,Electronics,North,7,5509,1648.74,2,2023,787.0,0.29928117625703393,235.53428571428572
2024-06-02,Printer,Office,West,7,5922,1323.1,6,2024,846.0,0.22342114150624787,189.0142857142857
2024-04-28,Smartphone,Electronics,South,4,4380,362.81,4,2024,1095.0,0.08283333333333333,90.7025
2022-03-25,Tablet,Electronics,South,5,1760,272.68,3,2022,352.0,0.1549318181818182,54.536
2024-10-05,Headphones,Accessories,North,9,5571,1523.81,10,2024,619.0,0.2735253993896966,169.3122222222222
2024-12-19,Tablet,Electronics,South,2,1082,182.1,12,2024,541.0,0.16829944547134934,91.05
2022-07-18,Camera,Electronics,East,1,569,138.11,7,2022,569.0,0.24272407732864676,138.11
2023-06-11,Mouse,Accessories,North,8,3416,697.42,6,2023,427.0,0.20416276346604215,87.1775
2024-10-13,Printer,Office,West,1,570,57.07,10,2024,570.0,0.10012280701754386,57.07
2023-08-07,Monitor,Accessories,East,6,3300,386.92,8,2023,550.0,0.11724848484848485,64.48666666666666
2022-12-04,Laptop,Electronics,South,8,2584,568.77,12,2022,323.0,0.22011222910216718,71.09625
2024-02-18,Monitor,Accessories,South,9,7650,2204.44,2,2024,850.0,0.288162091503268,244.9377777777778
2024-12-05,Headphones,Accessories,West,8,3600,272.51,12,2024,450.0,0.07569722222222222,34.06375
2023-12-15,Monitor,Accessories,West,6,846,190.87,12,2023,141.0,0.2256146572104019,31.811666666666667
2023-08-12,Smartphone,Electronics,West,1,51,9.36,8,2023,51.0,0.18352941176470586,9.36
2024-05-20,Smartwatch,Electronics,South,6,7056,586.91,5,2024,1176.0,0.08317885487528344,97.81833333333333
2024-06-05,Smartwatch,Electronics,West,2,384,38.41,6,2024,192.0,0.10002604166666666,19.205
2022-01-09,Laptop,Electronics,South,8,2928,663.54,1,2022,366.0,0.2266188524590164,82.9425
2023-12-17,Camera,Electronics,West,7,1904,352.86,12,2023,272.0,0.18532563025210086,50.40857142857143
2022-09-08,Tablet,Electronics,East,2,2314,312.07,9,2022,1157.0,0.13486171132238547,156.035
2022-01-22,Printer,Office,South,4,1028,192.13,1,2022,257.0,0.18689688715953306,48.0325
2024-09-04,Headphones,Accessories,South,9,8307,1326.23,9,2024,923.0,0.15965210063801613,147.35888888888888
2024-01-20,Printer,Office,West,9,1539,203.54,1,2024,171.0,0.13225471085120208,22.615555555555556
2022-11-03,Tablet,Electronics,West,7,2506,537.98,11,2022,358.0,0.21467677573822827,76.85428571428572
2023-07-03,Smartphone,Electronics,West,6,5778,1232.54,7,2023,963.0,0.2133160263066805,205.42333333333332
2024-01-25,Tablet,Electronics,East,9,10188,2165.78,1,2024,1132.0,0.21258146839418926,240.64222222222224
